"st001"	"st002"	"st003"	"st004"	"st005"	"st007"	"st009"	"st010"	"st012"	"st013"	"st014"	"st015"	"st017"	"st018"	"st019"	"st022"	"st023"	"st024"	"st025"	"st026"	"st027"	"st028"	"st029"	"st030"	"st032"	"st033"	"st034"	"st035"	"st037"	"st038"	"st039"	"st040"	"st041"	"st043"	"st044"	"st045"	"st046"	"st047"	"st049"	"st050"	"st051"	"st052"	"st053"	"st055"	"st056"	"st057"	"st058"	"st059"	"st060"	"st062"	"st063"	"st064"	"st065"	"st066"	"st067"	"st0681"	"st0682"	"st069"	"st070"	"st0711"	"st0712"	"st072"	"st073"	"st074"	"st075"	"st076"	"st077"	"st078"	"st079"	"st081"	"st082"	"st083"	"st085"	"st086"	"st087"	"st088"	"st089"	"st092"	"st093"	"st094"	"st095"	"st096"	"st097"	"st098"	"st101"	"st102"	"st103"	"st104"	"st106"	"st107"	"st108"	"st109"	"st110"	"st112"	"st114"	"st115"	"st116"	"st118"	"st119"	"st120"	"st121"	"st125"	"st126"	"st127"	"st128"	"st129"	"st130"	"st131"	"st132"	"st133"	"st134"	"st135"	"st138"	"st139"	"st140"	"st141"	"st143"	"st145"	"st146"	"SILVA_taxonomic_classification"	"MAS_taxonomic_classification"	"BM_taxonomic_classification"	"SILVA_class"	"MAS_class"	"BM_class"	"MAS_plus_BM_plus_SILVA_class"	"OTU_no"
"OTU_8195"	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX188293.1.1759_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"EU793725_Dinophyceae_Alveolata"	"3063_Dinophyceae_Alveolata_28"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8195
"OTU_8199"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JQ247701.1.1792_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Podolampadaceae;Lessardia;Azadinium_caudatum_var._caudatum"	"EU500034_Dinophyceae_Alveolata"	"22133_Dinophyceae_Alveolata_13"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8199
"OTU_8212"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FJ824910.1.1220_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Gonyaulacales;Neoceratium;Neoceratium_digitatum"	NA	"6329_Dinophyceae_Alveolata_262"	"Dinophyceae"	NA	"Dinophyceae"	"Dinophyceae"	8212
"OTU_8220"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"GU823247.1.1384_Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Mediophyceae;Chaetoceros;uncultured_stramenopile"	NA	"797_Diatomea_Stramenopiles_60"	"Diatomea"	NA	"Diatomea"	"Bacillariophyta"	8220
"OTU_8223"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AM494499.1.1802_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Thoracosphaeraceae;Scrippsiella;Scrippsiella_sp._SCKS_0701"	"DQ918992_Dinophyceae_Alveolata"	"18219_Dinophyceae_Alveolata_25"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8223
"OTU_8226"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EF455763.1.1872_Eukaryota;SAR;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonas;Pelagomonas_calceolata"	"U14389_Pelagophytes_Stramenopiles"	"30_Pelagophyceae_Stramenopiles_3903"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	8226
"OTU_8227"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	"AY664972.1.1752_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gyrodinium;uncultured_eukaryote"	"EU500017_Dinophyceae_Alveolata"	"2451_Dinophyceae_Alveolata_226"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8227
"OTU_8229"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	"21889_Dinophyceae_Alveolata_8"	NA	NA	"Dinophyceae"	"Dinophyceae"	8229
"OTU_8242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"HQ710571.1.1541_Eukaryota;SAR;Stramenopiles;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Ankylochrisis;Ankylochrysis_lutea"	"FJ973363_Pelagophytes_Stramenopiles"	"2569_Pelagophyceae_Stramenopiles_55"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	8242
"OTU_8243"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488407.1.1693_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;B7;uncultured_dinoflagellate"	"AY426916_Dinophyceae_Alveolata"	"7792_Dinophyceae_Alveolata_53"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8243
"OTU_8249"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488417.1.1688_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;FV18-2D9;uncultured_dinoflagellate"	"EU793855_Dinophyceae_Alveolata"	"21150_Dinophyceae_Alveolata_24"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8249
"OTU_8250"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"EU793452_Dinophyceae_Alveolata"	"13009_Dinophyceae_Alveolata_25"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8250
"OTU_8260"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AM490985.1.1724_Eukaryota;Haptophyta;Prymnesiophyceae;Coccolithales;Algirosphaera;Algirosphaera_robusta"	"EF695231_Prymnesiophyceae_Hacrobia"	"3483_Prymnesiophyceae_Hacrobia_60"	"Prymnesiophyceae"	"Prymnesiophyceae"	"Prymnesiophyceae"	"Prymnesiophyceae"	8260
"OTU_8261"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JN098207.1.1536_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;Protoperidinium;uncultured_dinoflagellate"	"FJ431624_Dinophyceae_Alveolata"	"12828_Dinophyceae_Alveolata_27"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8261
"OTU_8262"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488405.1.1558_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;Erythropsidinium;uncultured_dinoflagellate"	"EU780636_Dinophyceae_Alveolata"	"21474_Dinophyceae_Alveolata_6"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8262
"OTU_8268"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FR874767.1.1785_Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;E222;uncultured_marine_picoeukaryote"	"EF527064_Chrysophytes_Stramenopiles"	"458_Chrysophyceae_Stramenopiles_269"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	8268
"OTU_8285"	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"GU647171.1.1538_Eukaryota;SAR;Alveolata;OLI11255;uncultured_freshwater_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"12086_Dinophyceae_Alveolata_17"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8285
"OTU_8291"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"HQ226070.1.1798_Eukaryota;SAR;Alveolata;Dinoflagellata;Incertae_Sedis;Blastodinium;Blastodinium_spinulosum"	"EU818553_Dinophyceae_Alveolata"	"1624_Dinophyceae_Alveolata_27"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8291
"OTU_8292"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"HM581706.1.1796_Eukaryota;SAR;Alveolata;Dinoflagellata;SCM15C8;uncultured_marine_eukaryote"	"EU793452_Dinophyceae_Alveolata"	"3991_Dinophyceae_Alveolata_468"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8292
"OTU_8297"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"HM581743.1.1796_Eukaryota;SAR;Alveolata;OLI11255;uncultured_marine_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"18155_Dinophyceae_Alveolata_47"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8297
"OTU_8324"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664924.1.1754_Eukaryota;SAR;Alveolata;OLI11255;uncultured_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"14514_Dinophyceae_Alveolata_3"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8324
"OTU_8329"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	"KC582936.1.1795_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9;uncultured_alveolate"	"EU793835_Dinophyceae_Alveolata"	"1849_Dinophyceae_Alveolata_250"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8329
"OTU_8345"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	"FJ431624_Dinophyceae_Alveolata"	NA	NA	"Dinophyceae"	NA	"Dinophyceae"	8345
"OTU_8355"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FR865486.2.1767_Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Mediophyceae;Chaetoceros;Chaetoceros_sp._CCAP_1010/16"	NA	"955_Diatomea_Stramenopiles_85"	"Diatomea"	NA	"Diatomea"	"Bacillariophyta"	8355
"OTU_8361"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FJ537308.1.1753_Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Clade_VII;Subclade_B;uncultured_Prasinophyceae"	"FJ537308_Prasinophyceae_Chlorophyta"	NA	"Prasinophyceae"	"Prasinophyceae"	NA	"Prasinophyceae"	8361
"OTU_8364"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	"1243_Cryptomonadales_Hacrobia_39"	NA	NA	"Cryptomonadales"	"Cryptomonadales"	8364
"OTU_8365"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FJ537318.1.1788_Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Clade_IX;uncultured_Prasinophyceae"	"FJ537318_Prasinophyceae_Chlorophyta"	"724_Prasinophyceae_Archaeplastida_125"	"Prasinophyceae"	"Prasinophyceae"	"Prasinophyceae"	"Prasinophyceae"	8365
"OTU_8395"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EU446398.1.1566_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_marine_eukaryote"	"EU500204_Dinophyceae_Alveolata"	"12247_Dinophyceae_Alveolata_3"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8395
"OTU_8398"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JF698782.1.1630_Eukaryota;Haptophyta;Prymnesiophyceae;Prymnesiales;OLI16029;uncultured_Chrysochromulina"	"GQ913217_Prymnesiophyceae_Hacrobia"	"16865_Prymnesiophyceae_Hacrobia_5"	"Prymnesiophyceae"	"Prymnesiophyceae"	"Prymnesiophyceae"	"Prymnesiophyceae"	8398
"OTU_8399"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	"6870_Dictyochophyceae_Stramenopiles_10"	NA	NA	"Dictyochophyceae"	"Dictyochophyceae"	8399
"OTU_8402"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	"FR865630.2.1775_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Thoracosphaeraceae;Scrippsiella;Scrippsiella_sp._CCAP1134/9"	"EU793800_Dinophyceae_Alveolata"	"19201_Dinophyceae_Alveolata_27"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8402
"OTU_8410"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AJ402336.1.1758_Eukaryota;SAR;Alveolata;OLI11255;eukaryote_clone_OLI11255"	"EU561774_Dinophyceae_Alveolata"	"21065_Dinophyceae_Alveolata_17"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8410
"OTU_8420"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX840929.1.1308_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Amphidinium;uncultured_dinoflagellate"	"EF526881_Dinophyceae_Alveolata"	"13328_Dinophyceae_Alveolata_7"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8420
"OTU_8422"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU818548_Dinophyceae_Alveolata"	"2659_Dinophyceae_Alveolata_438"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	8422
