"st001"	"st002"	"st003"	"st004"	"st005"	"st007"	"st009"	"st010"	"st012"	"st013"	"st014"	"st015"	"st017"	"st018"	"st019"	"st022"	"st023"	"st024"	"st025"	"st026"	"st027"	"st028"	"st029"	"st030"	"st032"	"st033"	"st034"	"st035"	"st037"	"st038"	"st039"	"st040"	"st041"	"st043"	"st044"	"st045"	"st046"	"st047"	"st049"	"st050"	"st051"	"st052"	"st053"	"st055"	"st056"	"st057"	"st058"	"st059"	"st060"	"st062"	"st063"	"st064"	"st065"	"st066"	"st067"	"st0681"	"st0682"	"st069"	"st070"	"st0711"	"st0712"	"st072"	"st073"	"st074"	"st075"	"st076"	"st077"	"st078"	"st079"	"st081"	"st082"	"st083"	"st085"	"st086"	"st087"	"st088"	"st089"	"st092"	"st093"	"st094"	"st095"	"st096"	"st097"	"st098"	"st101"	"st102"	"st103"	"st104"	"st106"	"st107"	"st108"	"st109"	"st110"	"st112"	"st114"	"st115"	"st116"	"st118"	"st119"	"st120"	"st121"	"st125"	"st126"	"st127"	"st128"	"st129"	"st130"	"st131"	"st132"	"st133"	"st134"	"st135"	"st138"	"st139"	"st140"	"st141"	"st143"	"st145"	"st146"	"SILVA_taxonomic_classification"	"MAS_taxonomic_classification"	"BM_taxonomic_classification"	"SILVA_class"	"MAS_class"	"BM_class"	"MAS_plus_BM_plus_SILVA_class"	"OTU_no"
"OTU_44"	563	51	4	8	69	0	4	15	1	1	16	23	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	542	269	688	26	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	49	6	12	2	0	0	73	113	306	491	3	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	19	4	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	111	1	72	0	0	0	0	0	0	0	"KC583113.1.1768_Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Bathycoccus;uncultured_Chlorophyta"	"ZZ0025910_Prasinophyceae_Chlorophyta"	"31_Mamiellophyceae_Archaeplastida_4744"	"Mamiellophyceae"	"Prasinophyceae"	"Mamiellophyceae"	"Prasinophyceae"	44
"OTU_45"	76	18	22	41	53	2	18	19	42	30	63	18	18	71	16	31	35	17	85	31	1	94	0	14	51	44	59	50	7	14	17	24	66	2	1	6	31	37	30	22	47	47	2	53	53	72	102	104	53	59	49	46	52	18	111	15	11	16	99	30	18	22	25	56	50	22	15	67	48	6	22	16	24	32	45	29	86	20	31	80	30	38	30	37	28	23	93	16	18	36	16	34	43	52	30	37	47	67	11	24	35	23	12	41	89	22	13	37	47	36	53	45	60	69	86	44	35	47	36	"GU825491.1.1212_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Amoebophrya;uncultured_eukaryote"	"EU793487_Dinophyceae_Alveolata"	"19832_Dinophyceae_Alveolata_6"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	45
"OTU_46"	15	7	3	5	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1136	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	106	0	1	0	0	0	0	0	260	101	0	7	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6	2	0	332	17	26	0	12	1	0	0	0	0	0	367	0	325	7	0	0	0	0	0	3	"KC583129.1.1754_Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;uncultured_Chlorophyta"	"EU561670_Prasinophyceae_Chlorophyta"	"13549_Mamiellophyceae_Archaeplastida_22"	"Mamiellophyceae"	"Prasinophyceae"	"Mamiellophyceae"	"Prasinophyceae"	46
"OTU_49"	9	15	9	14	12	2	11	19	8	12	25	10	12	23	9	18	8	3	32	20	0	57	0	0	12	22	7	7	0	45	4	41	12	29	51	37	12	31	7	11	20	25	15	31	4	36	30	37	9	23	21	18	28	32	0	6	25	12	66	28	25	11	15	19	10	5	18	16	11	1	13	24	9	5	6	3	3	59	228	225	67	82	34	8	15	25	36	11	12	28	2	15	12	32	21	29	9	15	13	7	5	58	45	11	9	20	7	7	16	7	19	6	28	41	25	22	5	38	19	"KC488407.1.1693_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;B7;uncultured_dinoflagellate"	"AY426916_Dinophyceae_Alveolata"	"63_Dinophyceae_Alveolata_4010"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	49
"OTU_63"	1	0	0	0	1	0	0	2	0	4	17	58	16	8	0	0	0	0	0	3	26	1	0	0	0	0	0	3	0	0	0	1	0	0	10	0	2	14	1	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	14	12	21	8	0	0	0	0	0	0	0	0	84	50	3	18	88	38	77	3	0	0	0	0	0	0	0	0	0	3	4	33	24	11	176	7	5	106	279	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	"KC583085.1.1776_Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Clade_VII;Subclade_A;uncultured_Chlorophyta"	"AY425303_Prasinophyceae_Chlorophyta"	"91_Prasinophyceae_Archaeplastida_63"	NA	"Prasinophyceae"	"Prasinophyceae"	"Prasinophyceae"	63
"OTU_66"	40	12	20	16	24	0	21	18	35	10	24	6	1	10	1	27	9	18	26	45	0	48	0	0	16	22	54	37	0	32	29	1	3	59	6	73	67	55	20	16	16	36	0	14	4	42	8	15	2	40	1	43	62	49	3	8	5	44	112	47	42	7	19	19	35	46	38	9	9	3	8	21	16	2	6	3	27	14	15	17	12	23	33	12	11	6	50	11	6	27	1	42	5	26	17	49	5	16	20	2	30	75	11	2	6	0	0	4	2	0	2	0	7	5	7	7	6	15	9	"JX188327.1.1759_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_eukaryote"	"EU793310_Dinophyceae_Alveolata"	"250_Dinophyceae_Alveolata_874"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	66
"OTU_67"	15	6	13	6	12	1	6	13	8	6	35	9	4	15	4	10	78	10	30	26	0	52	0	35	7	9	10	6	0	15	22	2	2	0	1	22	27	15	23	0	4	33	3	0	2	9	24	5	13	10	3	13	29	29	13	9	23	17	33	16	35	21	35	67	43	29	0	8	16	3	8	9	11	17	10	18	3	3	23	28	5	8	4	11	11	1	21	3	5	2	4	2	9	24	27	14	24	28	26	3	76	20	10	11	8	13	4	15	16	3	7	2	8	5	16	8	13	4	10	"EU446398.1.1566_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_marine_eukaryote"	"EU500204_Dinophyceae_Alveolata"	"9883_Dinophyceae_Alveolata_11"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	67
"OTU_77"	7	0	0	0	1	0	23	25	45	55	23	27	3	10	0	0	94	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	118	37	16	15	14	7	0	0	0	0	0	0	0	0	0	0	0	2	22	3	2	5	4	1	0	0	0	0	0	14	5	53	38	0	0	0	2	5	11	4	4	0	5	51	51	19	3	16	0	1	7	0	1	10	2	3	0	1	13	32	68	10	55	43	43	39	111	91	2	0	2	2	6	0	0	0	0	0	0	0	0	0	0	1	"FJ626714.1.1769_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;SL163A10;uncultured_marine_eukaryote"	"AY938395_Dinophyceae_Alveolata"	"19112_Dinophyceae_Alveolata_32"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	77
"OTU_78"	17	7	27	29	23	0	14	20	22	17	20	12	5	12	2	15	40	27	30	41	0	75	0	0	11	23	24	18	0	31	17	24	3	15	23	23	36	20	24	19	13	31	9	35	13	37	78	39	18	34	8	11	43	25	71	10	15	12	27	12	10	14	34	24	10	9	15	6	18	17	28	25	10	3	6	6	112	7	5	0	2	4	5	34	2	7	23	5	3	13	2	34	4	19	8	11	14	34	1	1	22	0	5	4	7	24	1	18	8	0	5	1	3	19	18	14	30	31	27	"KC582936.1.1795_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9;uncultured_alveolate"	"EU818104_Dinophyceae_Alveolata"	"181_Dinophyceae_Alveolata_934"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	78
"OTU_87"	57	25	42	30	29	3	7	6	13	22	11	15	11	13	25	16	29	12	16	39	0	39	0	0	9	10	55	8	0	15	18	29	3	22	4	0	9	34	32	28	28	25	48	5	15	30	19	34	12	53	19	44	32	27	15	49	38	69	68	50	31	23	13	14	9	3	2	11	17	14	16	2	0	0	0	0	0	0	3	1	0	1	0	13	21	14	54	13	20	12	16	10	6	19	26	4	0	0	0	0	0	0	0	4	1	1	0	1	0	1	0	0	18	25	25	29	35	12	14	NA	NA	"512_Dictyochophyceae_Stramenopiles_107"	NA	NA	"Dictyochophyceae"	"Dictyochophyceae"	87
"OTU_110"	56	40	41	42	47	6	23	40	7	3	1	3	10	10	9	15	8	16	8	27	0	28	0	1	11	10	12	5	0	37	7	12	1	0	0	0	2	17	10	10	29	12	3	13	3	11	13	15	13	22	19	33	59	50	87	12	20	13	14	10	26	16	9	5	0	0	21	23	14	9	31	7	0	0	0	0	12	0	0	3	0	1	0	16	21	18	53	10	9	18	8	26	17	9	4	0	0	0	0	0	0	0	0	7	5	8	5	2	0	15	6	29	6	6	6	11	26	12	21	"JX188356.1.1758_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"EU561885_Dinophyceae_Alveolata"	"3063_Dinophyceae_Alveolata_28"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	110
"OTU_111"	17	10	4	20	20	5	10	4	13	6	13	5	4	10	9	8	0	3	9	6	0	8	0	0	8	0	4	0	0	0	0	36	38	0	29	0	8	5	1	3	2	14	0	10	0	10	2	4	8	2	3	7	11	5	0	25	13	2	22	8	2	7	4	36	21	14	0	15	5	7	13	28	9	31	16	16	7	7	11	32	18	72	23	4	18	18	10	12	17	12	14	0	7	4	4	26	33	2	37	27	8	25	39	3	16	6	0	26	36	4	39	3	2	6	2	4	0	5	2	"AY664888.1.1754_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;SCM37C58;uncultured_eukaryote"	"EU780632_Dinophyceae_Alveolata"	"15157_Dinophyceae_Alveolata_44"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	111
"OTU_112"	9	6	9	16	13	2	6	14	18	7	5	5	1	2	1	7	7	2	4	5	0	8	0	0	30	26	15	18	0	18	26	32	16	1	0	1	20	19	15	9	13	14	1	8	2	15	12	13	3	12	3	26	32	51	0	24	32	26	6	19	19	29	8	38	6	1	0	7	14	8	10	9	30	10	21	23	39	0	0	1	0	0	0	12	6	0	21	6	4	7	1	4	9	28	7	6	7	43	9	40	119	0	8	0	1	7	5	13	3	0	34	0	39	23	7	25	9	12	7	"EF526792.1.1343_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_marine_eukaryote"	"EF526792_Dinophyceae_Alveolata"	"4619_Dinophyceae_Alveolata_56"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	112
"OTU_121"	12	5	7	21	20	6	21	16	11	1	8	10	1	2	16	15	12	15	9	5	0	38	0	0	15	13	30	11	2	45	17	9	0	14	1	6	2	12	6	12	21	5	0	39	66	16	100	52	36	20	6	11	49	37	2	3	1	13	17	27	31	8	25	11	7	26	5	8	11	10	22	12	14	4	9	11	29	11	8	8	20	32	0	12	6	10	15	5	3	4	0	11	8	22	7	16	2	14	7	6	24	0	25	3	7	1	0	17	4	1	22	1	13	9	20	11	16	9	16	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU561774_Dinophyceae_Alveolata"	"2659_Dinophyceae_Alveolata_438"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	121
"OTU_129"	5	2	21	19	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27	15	16	7	1	12	31	58	11	83	63	15	1	4	8	6	4	5	1	1	2	7	15	41	22	41	30	25	17	25	0	5	7	34	59	24	33	19	41	4	19	11	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10	9	11	11	2	4	3	7	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	7	13	4	8	13	"FJ537356.1.1779_Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;LG01-09;uncultured_marine_chrysophyte"	"FJ537351_Chrysophytes_Stramenopiles"	"218_Chrysophyceae_Stramenopiles_618"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	129
"OTU_131"	5	11	26	18	5	3	11	18	3	34	18	8	7	17	11	13	33	28	36	40	0	45	0	0	7	1	3	0	1	14	14	17	4	11	0	5	19	13	8	8	4	22	16	17	14	23	3	30	16	24	4	20	4	12	10	11	6	38	42	38	17	22	12	6	8	0	0	3	0	7	11	4	11	0	1	4	0	2	0	0	2	1	0	7	8	3	15	9	6	4	3	5	4	12	14	5	0	15	3	12	7	0	6	5	4	32	0	8	8	0	3	0	6	14	6	1	10	4	5	"KC582988.1.1798_Eukaryota;SAR;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;uncultured_stramenopile"	"AB241.O08_Dictyochophytes_Stramenopiles"	"1696_Dictyochophyceae_Stramenopiles_41"	"Dictyochophyceae"	"Dictyochophyceae"	"Dictyochophyceae"	"Dictyochophyceae"	131
"OTU_135"	8	13	28	10	2	2	21	10	8	17	10	6	15	24	6	26	0	0	2	43	0	30	0	0	64	32	31	12	0	9	12	1	0	2	0	0	17	5	14	9	6	15	7	62	8	48	7	6	18	35	15	8	3	10	1	86	66	37	61	1	7	17	18	3	1	0	2	5	1	4	8	0	0	0	5	0	0	0	2	1	3	0	0	4	24	5	16	6	7	2	1	6	4	4	12	0	0	6	0	1	0	0	0	16	5	8	11	8	33	0	37	0	33	25	20	9	4	12	9	"KC582995.1.1780_Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;E222;uncultured_stramenopile"	"EF172998_Chrysophytes_Stramenopiles"	"524_Chrysophyceae_Stramenopiles_220"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	135
